ID,"class","handicapped-infants","water-project-cost-sharing","adoption-of-the-budget-resolution","physician-fee-freeze","el-salvador-aid","religious-groups-in-schools","anti-satellite-test-ban","aid-to-nicaraguan-contras","mx-missile","immigration","synfuels-crporation-cutback","education-spending","superfund-right-to-sue","crime","duty-free-exports","export-administration-act-south-africa"
362,democrat,y,n,y,n,y,y,y,n,y,y,n,n,y,y,n,unknown
86,democrat,n,n,y,n,y,y,n,n,n,y,y,y,y,y,n,y
264,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
258,republican,n,n,n,y,y,n,n,n,n,n,n,y,n,y,unknown,y
381,democrat,y,y,y,n,n,y,unknown,y,y,n,y,n,y,n,y,y
152,democrat,y,y,unknown,y,y,y,n,n,y,n,y,unknown,y,y,n,n
412,democrat,y,n,y,n,n,y,y,y,y,y,y,n,n,n,n,y
182,democrat,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
294,democrat,y,y,y,n,n,y,y,y,y,y,y,n,y,y,y,y
424,democrat,n,y,y,n,n,y,y,y,y,n,y,n,n,y,y,y
57,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y
363,democrat,y,y,y,n,n,y,y,y,y,y,y,y,y,n,n,y
172,republican,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,y
365,republican,y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,y
168,republican,y,n,y,y,y,y,y,y,n,y,y,y,n,y,y,y
54,republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
236,republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
295,democrat,n,y,y,n,n,y,y,y,n,y,y,n,y,y,n,unknown
296,republican,n,y,n,y,y,y,unknown,unknown,n,y,n,y,unknown,unknown,unknown,unknown
332,democrat,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
74,republican,y,n,y,y,y,n,y,n,y,y,n,n,y,y,n,y
259,democrat,n,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
148,democrat,n,n,n,n,n,n,y,y,y,y,n,y,y,y,y,y
304,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
407,democrat,y,n,y,n,y,y,n,n,y,y,n,n,y,y,n,y
406,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
402,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n
141,republican,n,n,n,y,n,n,y,y,y,y,n,n,y,y,n,y
22,democrat,y,y,y,n,n,n,y,y,y,n,n,n,unknown,unknown,y,y
140,democrat,y,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y
42,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
419,democrat,y,y,y,n,n,n,y,y,n,y,n,n,n,n,n,y
239,democrat,y,y,y,n,n,n,y,y,unknown,y,n,n,n,n,y,unknown
33,democrat,y,y,y,n,n,n,y,y,y,y,n,n,y,n,y,y
147,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
49,democrat,y,y,y,n,n,n,y,y,n,n,n,n,n,y,n,y
38,republican,y,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y
9,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
276,democrat,n,n,y,n,y,y,n,n,n,n,unknown,n,y,y,n,n
115,democrat,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
298,democrat,y,y,y,n,n,y,y,y,y,y,n,n,unknown,n,y,unknown
302,democrat,n,n,unknown,n,n,y,y,y,y,n,n,n,n,n,y,y
70,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
429,democrat,unknown,unknown,unknown,n,n,n,y,y,y,y,n,n,y,n,y,y
68,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
114,republican,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,n
314,republican,n,y,y,y,y,y,n,n,n,y,n,y,y,y,n,y
156,republican,y,y,n,y,y,y,n,unknown,n,n,y,y,y,y,n,n
60,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,unknown
175,democrat,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
398,democrat,y,y,n,n,y,unknown,n,n,n,n,y,n,y,y,n,y
129,democrat,n,unknown,y,n,n,y,n,y,n,y,y,n,n,n,y,y
143,republican,n,n,n,y,y,y,y,y,y,y,n,y,y,y,n,y
202,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
228,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,unknown,y
410,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
284,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
379,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
415,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y
414,republican,y,y,y,y,y,y,y,y,n,y,unknown,unknown,unknown,y,n,y
275,republican,y,n,n,y,y,n,y,n,n,y,n,n,n,y,y,y
102,democrat,y,n,y,n,y,y,y,n,n,n,y,n,n,y,n,y
396,democrat,y,y,y,unknown,n,n,n,y,n,n,y,unknown,n,n,y,y
316,republican,n,y,y,y,y,y,y,unknown,n,n,n,n,unknown,unknown,y,unknown
336,republican,n,n,n,y,y,y,n,n,n,y,y,y,y,y,n,unknown
105,democrat,unknown,unknown,unknown,unknown,n,y,y,y,y,y,unknown,n,y,y,n,unknown
8,republican,n,y,n,y,y,y,n,n,n,n,n,n,y,y,unknown,y
268,republican,y,n,n,n,n,n,y,y,y,y,n,n,n,y,n,y
255,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
12,republican,n,y,n,y,y,y,n,n,n,n,y,unknown,y,y,unknown,unknown
160,democrat,n,y,y,n,unknown,y,y,y,y,y,y,n,n,unknown,n,unknown
426,democrat,n,n,y,n,n,n,y,y,n,y,y,n,n,n,y,unknown
249,republican,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
257,republican,n,n,n,y,y,n,n,n,n,n,n,y,n,y,n,n
352,republican,n,n,y,y,y,y,y,y,y,y,n,y,y,y,y,y
196,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,unknown
353,democrat,n,y,n,y,n,y,y,y,y,n,y,n,y,n,y,unknown
186,democrat,y,n,y,n,n,n,y,y,y,y,n,unknown,n,n,y,y
211,democrat,n,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y
310,democrat,y,n,n,n,n,y,y,y,y,y,n,n,n,y,y,y
16,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,unknown,n,unknown
291,democrat,y,n,y,n,unknown,y,unknown,y,y,y,n,n,y,y,n,y
113,democrat,n,unknown,y,n,n,y,y,y,n,y,n,n,n,n,y,unknown
250,democrat,y,n,y,n,n,n,y,y,unknown,n,y,n,n,n,y,y
370,republican,n,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y
50,republican,n,unknown,n,y,y,y,n,n,n,n,n,y,y,y,n,n
347,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
223,democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,unknown
71,democrat,y,n,y,n,n,n,y,y,y,n,n,n,y,n,y,unknown
171,democrat,y,n,y,n,n,n,unknown,y,y,unknown,n,n,n,n,y,unknown
98,democrat,y,n,n,n,y,y,y,n,n,y,y,n,n,y,n,y
72,republican,y,y,y,y,n,n,y,y,y,y,y,n,n,y,n,y
150,democrat,n,n,y,n,n,n,y,y,y,y,n,n,y,n,y,y
364,republican,y,y,n,y,y,y,n,n,n,y,y,n,y,n,n,n
24,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
201,democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,y,y,y
18,democrat,y,unknown,y,n,n,n,y,y,y,n,n,n,y,n,y,y
219,democrat,y,unknown,y,n,n,n,y,y,y,n,unknown,n,n,n,y,unknown
44,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
103,democrat,y,n,y,n,y,y,y,n,unknown,n,y,n,y,y,y,unknown
328,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
329,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y
378,republican,n,y,n,y,y,y,unknown,unknown,n,n,unknown,unknown,y,unknown,unknown,unknown
77,democrat,n,y,y,n,y,y,n,n,n,y,y,y,y,y,n,unknown
124,republican,y,unknown,n,y,y,y,n,y,n,n,n,y,y,y,n,y
134,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
409,democrat,y,n,y,n,n,y,y,y,y,n,n,y,unknown,y,y,y
46,democrat,y,y,y,n,n,n,y,y,unknown,n,y,n,n,n,y,unknown
243,republican,n,n,n,n,y,y,y,n,n,n,n,unknown,n,y,y,y
226,republican,n,unknown,n,y,y,y,n,n,n,n,n,y,y,y,n,y
173,democrat,n,y,y,n,n,n,y,y,y,y,n,n,unknown,n,y,y
197,democrat,n,n,y,n,n,y,y,y,y,n,y,y,n,y,y,unknown
15,republican,n,y,n,y,y,y,n,n,n,n,n,y,unknown,unknown,n,unknown
154,democrat,n,n,y,n,n,y,y,y,y,y,y,n,y,y,n,y
334,democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
67,republican,n,y,n,y,y,y,y,n,n,n,y,y,y,y,n,y
254,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
65,democrat,y,y,y,n,n,n,y,y,y,n,y,unknown,n,n,n,y
401,republican,n,y,n,y,y,y,n,unknown,n,n,unknown,unknown,unknown,y,n,unknown
433,republican,n,unknown,n,y,y,y,n,n,n,n,y,y,y,y,n,y
125,democrat,n,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,y
221,democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
346,republican,n,n,n,y,y,y,y,n,n,y,n,y,n,y,y,y
245,democrat,y,n,y,n,n,n,n,y,y,y,n,n,n,n,y,y
41,democrat,y,y,y,n,n,n,y,y,y,n,unknown,n,n,n,n,unknown
6,democrat,n,y,y,n,y,y,n,n,n,n,n,n,y,y,y,y
232,republican,n,y,n,y,y,y,n,n,y,y,n,y,y,y,n,y
340,republican,y,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n
277,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,y,n
280,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
75,democrat,y,n,y,n,n,y,y,y,y,y,y,n,n,y,y,y
326,democrat,n,y,n,n,y,y,n,n,unknown,n,n,y,y,y,n,y
358,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
81,democrat,y,n,y,n,n,y,y,y,y,y,n,y,n,y,n,unknown
28,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
185,democrat,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
20,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
39,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
96,democrat,y,n,y,n,y,y,n,unknown,unknown,n,y,unknown,unknown,unknown,y,y
321,democrat,n,y,y,n,n,y,n,y,y,y,n,n,y,y,n,y
260,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
146,democrat,n,n,y,n,n,y,y,y,y,y,n,n,n,y,unknown,y
373,democrat,n,y,y,y,y,y,n,n,n,n,y,y,unknown,y,n,n
106,democrat,y,y,y,n,n,n,n,y,y,n,y,n,n,n,y,y
192,republican,n,y,n,y,y,y,n,unknown,n,y,n,y,y,y,n,unknown
405,republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
51,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
45,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,unknown
395,democrat,y,y,unknown,unknown,unknown,y,n,n,n,n,y,n,y,n,n,y
180,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
31,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
283,republican,y,n,n,y,y,y,n,n,n,y,n,unknown,y,y,n,n
266,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
157,republican,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,n
375,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
178,democrat,n,n,y,n,n,n,y,y,y,y,y,unknown,n,n,y,y
121,republican,n,unknown,unknown,y,y,y,n,n,n,y,n,y,y,y,unknown,y
288,democrat,y,y,y,unknown,n,y,y,y,y,n,y,n,y,n,unknown,y
359,democrat,y,y,y,n,n,y,y,y,y,y,y,y,y,y,n,unknown
289,democrat,y,y,y,n,y,y,n,y,n,y,y,n,y,y,y,y
66,republican,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y
112,republican,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,y
85,republican,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,n
43,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
210,democrat,y,y,y,n,n,n,y,y,y,y,y,n,n,n,n,y
380,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
13,democrat,n,y,y,n,n,n,y,y,y,n,n,n,y,n,unknown,unknown
189,republican,y,unknown,n,y,y,y,y,y,n,n,n,y,unknown,y,unknown,unknown
14,democrat,y,y,y,n,n,y,y,y,unknown,y,y,unknown,n,n,y,unknown
116,democrat,n,unknown,y,n,unknown,unknown,y,y,y,y,unknown,unknown,n,n,y,y
23,democrat,y,unknown,y,n,n,n,y,y,y,n,n,unknown,n,n,y,y
213,democrat,n,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
120,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
290,democrat,y,y,y,n,y,y,n,y,n,y,y,n,y,y,n,unknown
376,democrat,n,y,n,y,y,y,n,n,n,n,y,y,n,y,n,n
58,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
132,democrat,n,n,y,n,n,y,n,y,y,y,n,n,n,y,n,y
21,democrat,y,y,y,n,n,unknown,y,y,n,n,y,n,n,n,y,y
233,democrat,n,y,y,n,n,n,y,y,n,n,y,n,n,n,y,unknown
323,democrat,y,y,y,n,unknown,y,n,unknown,n,n,y,n,y,y,n,unknown
149,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y
110,democrat,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
297,republican,n,n,y,y,y,y,n,n,n,y,n,y,y,y,y,y
61,democrat,y,y,y,n,n,unknown,y,y,y,y,n,n,n,n,y,unknown
313,democrat,y,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y
117,democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
216,democrat,n,y,y,y,y,y,n,n,n,y,y,y,y,y,y,unknown
203,democrat,y,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y
241,republican,n,n,n,y,n,y,y,unknown,y,n,n,y,y,y,n,y
320,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
170,democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,y,n,y
230,republican,n,y,y,y,y,y,y,n,y,y,n,y,y,y,n,y
208,republican,y,unknown,n,y,y,y,y,n,n,y,n,y,y,y,n,y
293,democrat,y,n,y,n,n,y,y,y,n,y,y,n,y,y,y,y
158,democrat,n,y,y,n,n,y,n,y,y,n,y,n,unknown,unknown,unknown,unknown
265,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
368,democrat,y,y,y,n,y,y,y,y,n,y,y,n,n,n,y,unknown
88,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
215,republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
231,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
30,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
432,democrat,n,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
137,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,n,n,y
350,republican,n,y,y,y,y,y,y,y,y,n,n,y,y,y,n,y
397,democrat,y,y,y,n,y,y,n,y,n,n,y,n,y,n,y,y
174,democrat,n,n,n,n,y,y,n,n,n,y,y,y,y,y,n,y
269,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
331,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
36,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
339,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y
52,republican,n,y,n,y,y,y,n,unknown,n,n,n,y,y,y,n,y
37,republican,y,unknown,n,y,y,y,n,n,n,y,n,y,unknown,y,n,y
377,democrat,y,unknown,y,n,n,n,y,y,y,n,y,n,n,n,y,y
209,democrat,n,n,y,n,n,n,y,y,y,n,n,unknown,n,n,y,y
184,democrat,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,y,unknown,unknown,unknown,unknown,unknown,unknown,unknown
309,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
348,republican,y,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
34,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
