ID,"handicapped-infants","water-project-cost-sharing","adoption-of-the-budget-resolution","physician-fee-freeze","el-salvador-aid","religious-groups-in-schools","anti-satellite-test-ban","aid-to-nicaraguan-contras","mx-missile","immigration","synfuels-crporation-cutback","education-spending","superfund-right-to-sue","crime","duty-free-exports","export-administration-act-south-africa"
190,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
285,n,n,y,n,n,y,y,y,y,y,y,n,n,n,unknown,y
251,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
40,y,n,y,n,n,n,y,y,y,y,y,n,y,n,y,y
91,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
244,n,y,y,n,n,n,y,y,unknown,y,n,n,y,n,y,y
292,y,n,y,n,n,y,y,y,y,y,n,unknown,n,y,n,y
151,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
317,n,n,n,n,n,y,n,y,y,n,y,y,y,y,y,n
138,n,unknown,y,n,n,y,y,y,y,y,n,n,n,y,y,y
100,n,n,n,y,y,y,n,n,n,y,unknown,y,y,y,n,n
252,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
104,y,n,n,n,y,y,unknown,n,unknown,n,n,n,n,y,unknown,n
93,y,y,y,n,n,n,y,y,n,y,y,n,n,unknown,y,y
430,y,n,y,n,unknown,n,y,y,y,y,n,y,n,unknown,y,y
204,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
123,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
165,y,y,n,n,y,y,n,n,n,y,y,y,y,y,n,unknown
278,n,n,y,y,y,y,y,y,n,y,n,n,n,y,n,y
78,n,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y
385,y,y,y,y,y,y,n,n,n,n,y,y,y,y,n,y
360,n,n,n,y,y,y,n,n,n,y,unknown,y,y,y,n,y
95,y,n,y,n,y,y,n,n,n,n,n,n,n,n,n,y
428,n,n,n,y,y,y,y,y,n,y,n,y,y,y,n,y
84,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
300,n,y,y,n,n,y,y,y,y,y,n,n,y,y,y,y
122,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,y
256,y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y
391,unknown,unknown,n,n,unknown,y,unknown,n,n,n,y,y,n,y,n,unknown
248,n,y,n,y,y,y,unknown,n,n,n,n,unknown,y,y,n,n
315,n,y,n,y,y,y,y,y,n,n,y,y,y,y,y,y
270,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
325,n,y,n,y,y,y,n,n,n,n,y,y,y,y,n,n
286,n,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y
357,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
416,n,y,y,n,n,y,y,y,unknown,y,n,n,n,n,n,y
53,y,y,y,n,n,n,y,y,y,n,n,n,n,n,unknown,unknown
214,n,y,y,n,n,y,n,y,y,n,y,n,y,n,y,y
435,n,y,n,y,y,y,n,n,n,y,n,y,y,y,unknown,n
177,n,n,y,y,n,n,y,y,y,y,n,n,n,y,y,y
386,y,y,n,n,y,y,n,n,n,n,y,y,y,y,y,n
367,y,n,y,n,n,n,y,y,n,y,y,n,n,n,n,unknown
131,y,unknown,y,n,unknown,unknown,y,y,y,n,n,n,n,n,y,unknown
200,y,y,n,n,n,n,y,y,unknown,n,y,n,n,n,y,unknown
90,n,n,n,y,y,y,n,n,n,y,n,unknown,y,y,n,unknown
371,y,y,y,n,unknown,y,y,y,n,y,unknown,unknown,n,n,y,y
388,y,y,y,n,y,y,n,y,y,n,y,n,n,y,n,unknown
420,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y
327,y,y,n,y,n,n,y,y,y,n,y,n,n,y,n,y
392,y,y,n,n,n,n,n,y,y,n,y,n,n,n,y,n
393,y,y,n,y,y,y,n,n,n,n,y,y,y,y,n,y
305,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,unknown
169,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y,unknown
374,n,y,y,unknown,y,y,n,y,n,y,unknown,n,y,y,unknown,y
337,n,n,y,n,n,y,y,y,n,n,y,n,n,y,unknown,y
198,n,unknown,y,y,y,y,n,n,n,y,n,n,n,y,n,y
80,n,n,n,y,y,n,n,n,n,y,n,y,y,y,n,n
421,y,y,y,y,y,y,y,y,n,y,n,n,y,y,n,y
164,n,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y
130,unknown,unknown,y,n,n,n,y,y,unknown,n,unknown,unknown,unknown,unknown,unknown,unknown
242,y,n,y,n,n,n,y,y,y,y,y,n,n,y,y,y
128,n,unknown,y,n,n,n,y,y,y,y,y,n,n,y,y,y
76,n,y,y,y,y,y,n,n,n,y,y,n,y,y,n,n
87,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
35,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
354,n,n,y,y,y,y,y,n,n,y,y,y,y,y,n,y
25,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
390,y,n,y,n,n,n,y,y,y,unknown,y,n,n,n,y,unknown
311,n,n,n,y,y,y,n,n,n,y,n,y,y,y,y,n
423,n,n,y,n,n,y,y,y,y,n,y,n,n,n,y,y
135,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,unknown
342,n,unknown,y,unknown,n,y,y,y,y,y,y,n,unknown,unknown,y,y
127,n,unknown,n,y,y,y,n,n,n,n,n,y,y,y,n,n
166,n,y,y,n,n,y,y,y,y,y,y,n,y,n,y,unknown
299,n,y,n,n,n,n,y,y,y,y,y,n,n,n,y,y
222,n,y,y,n,y,y,n,n,n,n,y,n,n,n,y,unknown
193,n,n,n,n,n,y,y,y,y,n,y,n,n,y,y,y
366,n,y,n,n,y,y,n,n,n,y,y,n,y,y,n,n
389,n,y,y,y,y,y,n,n,n,n,n,y,y,y,n,unknown
133,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,unknown
1,n,y,n,y,y,y,n,n,n,y,unknown,y,y,y,n,y
7,n,y,n,y,y,y,n,n,n,n,n,n,unknown,y,y,y
4,n,y,y,n,unknown,y,n,n,n,n,y,n,y,n,n,y
312,n,n,y,n,n,y,y,y,y,y,n,n,y,n,n,y
229,n,y,n,y,y,y,n,n,n,n,n,y,y,unknown,n,y
153,n,y,y,n,n,y,n,y,y,y,y,n,y,n,y,y
404,n,y,n,y,y,y,n,n,n,y,n,y,unknown,y,n,n
330,y,unknown,y,n,n,y,y,y,y,y,n,n,n,n,y,unknown
356,y,n,y,y,n,n,n,y,y,y,n,n,n,y,y,y
355,n,y,y,n,n,y,y,y,y,y,n,unknown,n,n,y,y
322,y,y,y,n,n,n,y,y,y,y,n,n,y,n,n,y
187,n,y,y,n,n,n,y,y,y,y,y,n,n,n,y,y
56,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n
69,y,unknown,y,n,n,n,y,y,y,n,n,n,y,n,y,y
403,unknown,n,y,y,n,y,y,y,y,y,n,y,n,y,n,y
194,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
205,n,n,y,y,y,y,y,n,n,n,n,y,y,y,n,y
107,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
361,y,n,y,n,n,y,y,y,y,y,n,n,y,n,n,y
47,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y
335,n,y,y,n,n,y,y,y,unknown,n,y,y,n,n,y,y
384,y,y,y,n,y,y,n,y,y,y,y,n,n,n,n,y
162,n,n,n,n,y,y,y,n,n,n,n,y,y,y,n,y
195,n,n,y,n,n,y,y,unknown,y,y,y,n,n,n,y,y
345,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
372,y,y,y,n,unknown,n,y,y,y,y,n,n,n,n,y,unknown
212,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
97,n,n,unknown,n,y,y,n,n,n,n,y,y,y,y,n,y
136,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
92,y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
341,n,n,n,y,y,y,n,n,n,y,y,y,n,y,n,y
26,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
369,n,y,y,n,n,y,y,y,n,y,n,n,n,n,y,y
27,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
199,n,n,y,n,n,n,y,y,y,y,y,n,unknown,n,y,unknown
272,n,y,y,n,n,y,y,y,y,n,unknown,n,n,n,n,y
142,n,n,n,y,y,y,y,y,y,y,n,y,y,y,unknown,y
422,n,y,y,n,y,y,y,y,n,n,y,n,y,n,y,y
408,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n
247,n,n,y,n,y,n,y,y,y,n,n,n,n,y,unknown,y
234,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
306,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
400,n,y,n,y,unknown,y,n,n,n,y,n,y,y,y,n,n
89,n,y,y,n,y,y,y,n,y,y,y,n,y,y,n,y
263,y,n,y,n,n,n,y,y,y,y,n,n,unknown,n,y,y
119,n,y,y,n,n,n,n,y,y,y,y,n,n,n,y,y
2,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,unknown
155,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
101,y,n,n,n,y,y,n,n,n,n,y,y,n,y,n,y
32,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,unknown
279,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
161,n,y,n,n,y,y,n,n,n,n,n,y,y,y,y,y
383,y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,unknown
431,n,n,y,y,y,y,n,n,y,y,n,y,y,y,n,y
224,n,n,n,y,y,n,n,n,n,n,n,y,y,y,n,y
425,n,y,y,n,n,unknown,y,y,y,y,y,n,unknown,y,y,y
308,y,n,y,n,n,y,y,y,y,n,n,n,n,y,n,unknown
349,y,n,y,n,n,n,y,y,y,y,n,y,n,n,y,unknown
11,n,y,n,y,y,n,n,n,n,n,unknown,unknown,y,y,n,n
413,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
344,n,n,n,y,y,n,y,n,y,y,n,n,n,y,n,y
94,y,n,y,n,n,n,y,n,y,y,y,n,n,n,y,y
83,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
217,y,y,y,n,y,y,n,n,unknown,y,n,n,n,y,y,unknown
318,y,n,n,n,n,n,y,y,y,y,n,n,n,n,y,y
207,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
394,unknown,unknown,unknown,unknown,n,y,n,y,y,n,n,y,y,n,n,unknown
191,n,unknown,n,y,y,y,n,n,n,n,n,y,y,y,n,unknown
387,n,unknown,y,n,y,y,n,y,n,n,y,n,n,n,n,unknown
79,y,y,y,n,y,y,n,n,n,y,y,n,y,y,n,y
235,n,n,y,n,n,y,y,y,y,y,n,y,n,y,y,unknown
118,y,y,y,y,y,n,y,n,n,n,n,y,y,y,n,y
418,y,y,y,n,n,n,y,y,y,y,y,n,y,n,n,y
427,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
55,y,y,y,n,n,y,unknown,y,n,n,y,y,n,y,n,unknown
338,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
176,n,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y
59,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
139,n,n,y,n,n,y,y,y,y,y,n,n,n,y,n,y
206,n,n,y,n,n,y,y,y,y,y,n,y,n,n,n,y
109,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
82,y,n,y,n,n,n,y,y,unknown,y,y,y,n,y,n,y
225,n,y,n,y,y,y,n,n,n,y,n,unknown,y,y,n,n
3,unknown,y,y,unknown,y,y,n,n,n,n,y,n,y,y,n,n
238,y,n,y,n,n,y,y,y,n,n,n,y,y,n,n,y
333,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,unknown
301,n,n,n,y,y,n,y,y,y,y,n,y,y,y,n,y
240,n,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y
324,y,y,y,n,y,y,n,y,unknown,y,n,n,y,y,n,unknown
220,n,y,y,n,n,n,n,y,y,n,y,n,n,y,y,y
351,n,y,n,n,n,y,y,n,y,n,y,n,n,n,y,y
218,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
163,n,y,y,n,y,y,y,n,n,n,y,y,y,y,n,y
29,y,n,n,y,y,n,y,y,y,n,n,y,y,y,n,y
274,n,n,n,y,y,n,y,y,n,y,n,y,y,y,unknown,y
246,y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
144,unknown,y,n,n,n,n,y,y,y,y,y,n,n,y,y,y
319,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
99,y,y,y,n,n,y,y,y,y,y,n,n,n,n,n,y
282,y,n,y,y,y,y,y,y,n,n,n,n,n,y,n,unknown
183,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,y
179,unknown,n,y,n,n,n,y,y,y,y,y,unknown,n,n,y,unknown
62,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
63,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,unknown
188,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
271,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
227,n,n,y,n,n,y,y,y,y,n,y,n,n,y,y,y
48,y,n,y,n,n,n,y,y,unknown,n,n,n,n,n,n,unknown
5,y,y,y,n,y,y,n,n,n,n,y,unknown,y,y,y,y
19,n,y,n,y,y,y,n,n,n,n,n,unknown,y,y,n,n
237,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
167,y,n,y,y,y,y,y,y,n,y,n,y,n,y,y,y
145,n,unknown,n,n,n,y,y,y,y,y,n,n,n,y,n,unknown
399,n,y,y,n,y,y,n,y,n,n,n,n,n,n,n,y
273,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,unknown
126,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,y
267,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
111,n,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
253,y,y,y,n,n,y,y,y,y,n,n,n,n,n,y,y
303,n,n,n,y,y,y,y,n,n,y,n,y,y,y,n,y
343,n,y,y,n,y,unknown,y,n,n,y,y,n,y,n,y,y
411,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,y
307,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
108,n,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,y,unknown,unknown
417,y,y,n,y,y,y,n,n,n,y,n,n,y,y,n,y
281,n,n,y,n,n,n,y,y,y,y,n,n,n,y,n,y
73,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,unknown
10,y,y,y,n,n,n,y,y,y,n,n,n,n,n,unknown,unknown
64,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y
159,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
261,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
262,y,n,y,n,n,unknown,y,y,y,n,unknown,unknown,n,unknown,unknown,unknown
181,unknown,unknown,y,n,n,n,y,y,y,unknown,unknown,n,n,n,unknown,unknown
287,n,n,y,n,n,y,unknown,y,unknown,y,y,y,n,y,y,unknown
434,n,n,n,y,y,y,unknown,unknown,unknown,unknown,n,y,y,y,n,y
17,y,n,y,n,n,y,n,y,unknown,y,y,y,unknown,n,n,y
382,y,y,y,n,y,y,y,y,y,y,y,n,y,y,n,unknown
